session_id,applicant_id,session_status,risk_class_decision_date_time
P2F4kSPf5a,YVotX3F2N,MISSING_INFO,
Oxu16UriGm,kldtjKhwY,DROP_OFF,2259-06-11 14:41:28.223000+00:00
6KF2Bsmipg,RqnSYLUPy,MISSING_INFO,
w6hWVt6U50,anotlgSd0,NO_SHOW,
52uXYfVfl3,QloCn7Hvo,COMPLETED,2258-08-10 17:53:29.740000+00:00
B8ULKhrfYO,YQzFVeUMj,COMPLETED,2258-09-03 19:18:34.182000+00:00
gzHLqcviYD,JJzIa1u7r,NO_SHOW,2258-11-06 14:24:21.684000+00:00
A2uOeIjiz2,Q8Gi1xUAW,COMPLETED,2258-12-29 15:58:55.953000+00:00
m2h26SkiWR,zMeCBKH0G,DROP_OFF,2258-11-23 15:23:53.357000+00:00
5EHLNslU7M,yn2I3xC3o,COMPLETED,2259-02-19 18:50:25.652000+00:00
kxfVRfJipm,wzRuObieb,COMPLETED,2259-01-18 20:31:16.677000+00:00
00ujVsNUMv,vpBfKmSVG,COMPLETED,2258-11-18 17:49:42.251000+00:00
bKUkqHYCQW,kXxiMnTaK,COMPLETED,2259-05-21 20:50:02.775000+00:00
PRIEXHqfv6,pVAsmBh5M,COMPLETED,2258-10-26 16:15:42.261000+00:00
5kTlMSmfvN,owoh6PHpL,NO_SHOW,2258-03-13 23:09:18.964000+00:00
bXHlAu5hDl,MxGc0yHLv,COMPLETED,2259-03-19 15:35:30.991000+00:00
5qTxgUKh91,aG0tWVizV,NO_SHOW,2258-04-29 15:12:30.144000+00:00
9jUzKuZh7P,0E3C3lTpN,COMPLETED,2259-06-18 15:40:36.229000+00:00
xDFboSVh9M,AGnHjqugn,COMPLETED,2258-10-09 14:37:01.565000+00:00
oGFJQh5hjN,MxXCJGCM9,COMPLETED,2259-05-27 18:51:20.647000+00:00
K5inaU8s46,rlos6rh4V,COMPLETED,2259-01-04 17:35:55.221000+00:00
zQUL9SmsEj,lapFg7C7g,MISSING_INFO,
4ZIDbUas9W,bgxF8MCwX,COMPLETED,2259-07-06 20:08:19.027000+00:00
1yuN6fLFw8,ANQiBnTBP,COMPLETED,2259-05-05 21:37:16.325000+00:00
27iP7fLFg7,85VIVPsW0,COMPLETED,2259-05-20 19:17:17.301000+00:00
eWsJGFOFjJ,9zZt5KU9M,NO_SHOW,2259-01-15 14:32:25.923000+00:00
LPSZqsjFko,NRNsXrf4v,COMPLETED,2259-02-04 22:44:44.889000+00:00
emtY4UXFln,VjQuGgcZl,MISSING_INFO,
nWHOwhaFG9,ZaOuXpCa1,COMPLETED,2259-06-02 18:47:34.352000+00:00
eVsX9IrIqg,ZylH3EcbK,COMPLETED,2258-06-19 15:39:15.948000+00:00
znf0BH9I8a,X69HjPUNk,NO_SHOW,2259-05-06 18:07:43.352000+00:00
aDuj7t2sB8,1oQhGWcX2,DROP_OFF,2259-03-17 17:23:07.178000+00:00
y7fpEc1uzv,AEvI4Lc3l,MISSING_INFO,
n5fKdsBFbN,Jdxce8Sd9,COMPLETED,2259-05-31 21:54:38.683000+00:00
